CustomerID,CustomerName,Region,Segment,SignupDate
CUST0001,Customer_1,East,Corporate,2024-03-30
CUST0002,Customer_2,West,Consumer,2023-10-18
CUST0003,Customer_3,North,Consumer,2022-09-26
CUST0004,Customer_4,East,Consumer,2023-01-05
CUST0005,Customer_5,East,Home Office,2023-09-28
CUST0006,Customer_6,west,Home Office,2022-04-16
CUST0007,Customer_7,north,,2023-11-01
CUST0008,Customer_8,north,Home Office,2023-10-21
CUST0009,Customer_9,east,Consumer,2023-10-19
CUST0010,Customer_10,south,Corporate,2022-04-30
CUST0011,Customer_11,east,Consumer,2024-04-10
CUST0012,Customer_12,East,Consumer,2024-02-26
CUST0013,Customer_13,East,Home Office,2023-08-27
CUST0014,Customer_14,East,Corporate,2022-02-27
CUST0015,Customer_15,West,,2022-12-12
CUST0016,Customer_16, North ,Home Office,2024-01-11
CUST0017,Customer_17, West ,Corporate,2023-04-19
CUST0018,Customer_18, West ,Consumer,2022-04-27
CUST0019,Customer_19, West ,Consumer,2024-04-09
CUST0020,Customer_20, East ,Corporate,2024-03-01
CUST0021,Customer_21, South ,Consumer,2022-05-07
CUST0022,Customer_22,North,Corporate,2023-01-28
CUST0023,Customer_23,South,Corporate,2023-10-03
CUST0024,Customer_24,West,Home Office,2022-02-27
CUST0025,Customer_25,West,Corporate,2023-09-26
CUST0026,Customer_26,South,Home Office,2023-05-28
CUST0027,Customer_27,South,Consumer,2024-01-21
CUST0028,Customer_28,South,Consumer,2024-03-12
CUST0029,Customer_29,West,Consumer,2022-04-06
CUST0030,Customer_30,West,Consumer,2023-09-30
CUST0031,Customer_31,North,Home Office,2022-04-28
CUST0032,Customer_32,North,Consumer,2023-07-14
CUST0033,Customer_33,West,Corporate,2023-08-24
CUST0034,Customer_34,South,Corporate,2023-05-03
CUST0035,Customer_35,South,Corporate,2022-08-25
CUST0036,Customer_36,North,Home Office,2024-06-03
CUST0037,Customer_37,West,Consumer,2024-06-15
CUST0038,Customer_38,North,Consumer,2022-09-29
CUST0039,Customer_39,North,Consumer,2022-07-08
CUST0040,Customer_40,East,Home Office,2023-12-05
CUST0041,Customer_41,East,Corporate,2023-03-23
CUST0042,Customer_42,East,Corporate,2023-08-04
CUST0043,Customer_43,South,Consumer,2024-02-29
CUST0044,Customer_44,West,Corporate,2024-05-10
CUST0045,Customer_45,West,Corporate,2022-09-04
CUST0046,Customer_46,West,Home Office,2022-03-17
CUST0047,Customer_47,West,Home Office,2022-06-03
CUST0048,Customer_48,East,Home Office,2023-10-18
CUST0049,Customer_49,South,Home Office,2023-03-11
CUST0050,Customer_50,South,Consumer,2022-03-27
CUST0051,Customer_51,East,Home Office,2023-11-28
CUST0052,Customer_52,South,Corporate,2022-10-12
CUST0053,Customer_53,East,Consumer,2022-08-08
CUST0054,Customer_54,West,Corporate,2022-03-10
CUST0055,Customer_55,East,Corporate,2022-02-16
CUST0056,Customer_56,West,Corporate,2022-04-04
CUST0057,Customer_57,West,Home Office,2024-01-20
CUST0058,Customer_58,North,Home Office,2023-03-29
CUST0059,Customer_59,East,Consumer,2022-07-23
CUST0060,Customer_60,North,Consumer,2022-08-06
CUST0061,Customer_61,East,Home Office,2023-04-19
CUST0062,Customer_62,East,Corporate,2023-03-08
CUST0063,Customer_63,North,Consumer,2022-12-07
CUST0064,Customer_64,North,Home Office,2023-07-05
CUST0065,Customer_65,East,Home Office,2023-09-04
CUST0066,Customer_66,South,Home Office,2022-10-16
CUST0067,Customer_67,West,Corporate,2022-09-11
CUST0068,Customer_68,North,Home Office,2024-01-04
CUST0069,Customer_69,West,Home Office,2022-12-23
CUST0070,Customer_70,South,Home Office,2022-01-23
CUST0071,Customer_71,South,,2024-02-01
CUST0072,Customer_72,South,Consumer,2023-06-06
CUST0073,Customer_73,North,Consumer,2024-01-28
CUST0074,Customer_74,South,Home Office,2024-04-16
CUST0075,Customer_75,North,Corporate,2022-04-10
CUST0076,Customer_76,South,Consumer,2024-03-12
CUST0077,Customer_77,West,Home Office,2022-06-29
CUST0078,Customer_78,West,Consumer,2022-08-11
CUST0079,Customer_79,East,Consumer,2024-02-01
CUST0080,Customer_80,West,Corporate,2023-10-21
CUST0081,Customer_81,East,Home Office,2023-03-18
CUST0082,Customer_82,West,Home Office,2023-08-31
CUST0083,Customer_83,North,Corporate,2024-02-08
CUST0084,Customer_84,West,Corporate,2022-11-21
CUST0085,Customer_85,East,Home Office,2023-05-31
CUST0086,Customer_86,East,Home Office,2022-01-16
CUST0087,Customer_87,South,Corporate,2024-03-02
CUST0088,Customer_88,North,Consumer,2022-12-02
CUST0089,Customer_89,West,Consumer,2024-01-29
CUST0090,Customer_90,South,Corporate,2022-09-15
CUST0091,Customer_91,West,Consumer,2023-05-12
CUST0092,Customer_92,West,Corporate,2024-06-14
CUST0093,Customer_93,South,,2022-06-09
CUST0094,Customer_94,South,Consumer,2023-04-20
CUST0095,Customer_95,South,Home Office,2024-05-01
CUST0096,Customer_96,South,Home Office,2023-10-26
CUST0097,Customer_97,South,Consumer,2023-11-21
CUST0098,Customer_98,West,Consumer,2023-11-06
CUST0099,Customer_99,South,Home Office,2023-01-15
CUST0100,Customer_100,North,Home Office,2023-06-29
CUST0101,Customer_101,East,Home Office,2023-11-22
CUST0102,Customer_102,South,Corporate,2023-03-03
CUST0103,Customer_103,South,Consumer,2023-09-05
CUST0104,Customer_104,West,Home Office,2022-09-25
CUST0105,Customer_105,South,Consumer,2024-04-14
CUST0106,Customer_106,South,Corporate,2023-07-31
CUST0107,Customer_107,South,Corporate,2023-02-21
CUST0108,Customer_108,West,Home Office,2022-06-17
CUST0109,Customer_109,South,Corporate,2024-04-21
CUST0110,Customer_110,East,Consumer,2022-02-12
CUST0111,Customer_111,West,Home Office,2023-07-10
CUST0112,Customer_112,East,Consumer,2022-10-12
CUST0113,Customer_113,West,Consumer,2023-02-01
CUST0114,Customer_114,South,Corporate,2022-01-12
CUST0115,Customer_115,East,Corporate,2023-08-30
CUST0116,Customer_116,West,Corporate,2022-10-29
CUST0117,Customer_117,North,Corporate,2024-06-16
CUST0118,Customer_118,South,Corporate,2022-09-10
CUST0119,Customer_119,West,Home Office,2023-05-14
CUST0120,Customer_120,North,Consumer,2024-01-24
CUST0121,Customer_121,West,,2022-02-04
CUST0122,Customer_122,North,Consumer,2023-12-28
CUST0123,Customer_123,South,Consumer,2024-04-28
CUST0124,Customer_124,East,Corporate,2022-03-31
CUST0125,Customer_125,North,Consumer,2024-02-15
CUST0126,Customer_126,West,Home Office,2023-08-28
CUST0127,Customer_127,South,Home Office,2023-08-25
CUST0128,Customer_128,North,Consumer,2023-02-22
CUST0129,Customer_129,West,Consumer,2022-04-25
CUST0130,Customer_130,West,Home Office,2023-09-09
CUST0131,Customer_131,West,Home Office,2022-07-15
CUST0132,Customer_132,North,Corporate,2024-04-05
CUST0133,Customer_133,North,Home Office,2023-05-16
CUST0134,Customer_134,North,Corporate,2023-09-18
CUST0135,Customer_135,East,Corporate,2023-05-08
CUST0136,Customer_136,North,Corporate,2022-03-16
CUST0137,Customer_137,North,Corporate,2023-02-17
CUST0138,Customer_138,North,Corporate,2023-01-11
CUST0139,Customer_139,East,Consumer,2023-02-24
CUST0140,Customer_140,North,Home Office,2023-12-30
CUST0141,Customer_141,West,Corporate,2022-10-04
CUST0142,Customer_142,North,Home Office,2024-01-31
CUST0143,Customer_143,West,Home Office,2023-11-07
CUST0144,Customer_144,West,Corporate,2023-01-29
CUST0145,Customer_145,West,Consumer,2024-05-18
CUST0146,Customer_146,East,Corporate,2023-04-02
CUST0147,Customer_147,East,Consumer,2022-07-11
CUST0148,Customer_148,East,Home Office,2024-01-09
CUST0149,Customer_149,North,Consumer,2023-11-20
CUST0150,Customer_150,West,Consumer,2022-04-09
CUST0151,Customer_151,East,Consumer,2023-07-02
CUST0152,Customer_152,East,Home Office,2022-04-06
CUST0153,Customer_153,North,Home Office,2023-10-26
CUST0154,Customer_154,East,Consumer,2023-10-25
CUST0155,Customer_155,North,Consumer,2022-07-09
CUST0156,Customer_156,South,Corporate,2024-01-06
CUST0157,Customer_157,East,Consumer,2022-02-06
CUST0158,Customer_158,South,Corporate,2024-02-19
CUST0159,Customer_159,North,Consumer,2023-01-04
CUST0160,Customer_160,West,Corporate,2023-11-26
CUST0161,Customer_161,East,Home Office,2023-06-09
