OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,CustomerName,Region,Segment,SignupDate,ProductName,Category,UnitCost,OrderSizeLabel,SegmentType,Quantity_MinMax,UnitPrice_Zscore,OrderYear,OrderMonth,OrderMonthName,OrderQuarter,OrderWeekday,YearMonth,Revenue,Cost,Profit,ProfitMargin%,CustomerLifetimeSpend,CustomerTier,AOV
ORD000001,CUST0074,PRD0001,2023-07-29,14.0,133.49,Customer_74,South,Home Office,2024-04-16,Product_1,Furniture,65.38,Bulk,B2B-Home,0.6341463414634146,-0.9462271147455267,2023,7,July,3,Saturday,2023-07,1868.8600000000001,915.3199999999999,953.5400000000002,51.02,14716.050000000001,Medium Value,1868.8600000000001
ORD000002,CUST0104,PRD0044,2024-07-16,11.0,162.81,Customer_104,West,Home Office,2022-09-25,Product_44,Electronics,105.58,Bulk,B2B-Home,0.4878048780487805,-0.8035063846938985,2024,7,July,3,Tuesday,2024-07,1790.91,1161.3799999999999,629.5300000000002,35.15,17920.66,Medium Value,1790.91
ORD000003,CUST0038,PRD0056,2023-04-28,8.0,711.44,Customer_38,North,Consumer,2022-09-29,Product_56,Groceries,375.64,Regular,B2C,0.34146341463414637,1.8670554887107675,2023,4,April,2,Friday,2023-04,5691.52,3005.12,2686.4000000000005,47.2,19394.91,Medium Value,5691.52
ORD000004,CUST0134,PRD0045,2024-12-13,8.0,554.21,Customer_134,North,Corporate,2023-09-18,Product_45,Clothing,274.19,Regular,B2B,0.34146341463414637,1.1017082722708798,2024,12,December,4,Friday,2024-12,4433.68,2193.52,2240.1600000000003,50.53,13210.79,Medium Value,4433.68
ORD000005,CUST0200,PRD0042,2024-01-12,13.0,259.69,Customer_200,East,Home Office,2023-04-14,Product_42,Clothing,132.33,Bulk,B2B-Home,0.5853658536585366,-0.33192438171293864,2024,1,January,1,Friday,2024-01,3375.97,1720.2900000000002,1655.6799999999996,49.04,8446.85,Low Value,3375.97
ORD000006,CUST0023,PRD0047,2024-07-04,7.0,491.72,Customer_23,South,Corporate,2023-10-03,Product_47,Furniture,240.28,Regular,B2B,0.2926829268292683,0.7975261978873105,2024,7,July,3,Thursday,2024-07,3442.04,1681.96,1760.08,51.13,9435.74,Medium Value,3442.04
ORD000007,CUST0047,PRD0059,2024-06-23,8.0,460.22,Customer_47,West,Home Office,2022-06-03,Product_59,Groceries,297.74,Regular,B2B-Home,0.34146341463414637,0.6441938992302065,2024,6,June,2,Sunday,2024-06,3681.76,2381.92,1299.8400000000001,35.3,23461.079999999998,High Value,3681.76
ORD000008,CUST0090,PRD0013,2023-03-25,13.0,326.99,Customer_90,South,Corporate,2022-09-15,Product_13,Office Supplies,162.15,Bulk,B2B,0.5853658536585366,-0.004328708709030647,2023,3,March,1,Saturday,2023-03,4250.87,2107.9500000000003,2142.9199999999996,50.41,18871.21,Medium Value,4250.87
ORD000009,CUST0046,PRD0055,2024-03-29,6.0,540.73,Customer_46,West,Home Office,2022-03-17,Product_55,Groceries,293.69,Regular,B2B-Home,0.24390243902439024,1.0360917838296808,2024,3,March,1,Friday,2024-03,3244.38,1762.1399999999999,1482.2400000000002,45.69,28122.76,High Value,3244.38
ORD000010,CUST0107,PRD0022,2024-10-28,2.0,365.55,Customer_107,South,Corporate,2023-02-21,Product_22,Office Supplies,230.79,Regular,B2B,0.04878048780487805,0.18336949561534813,2024,10,October,4,Monday,2024-10,731.1,461.58,269.52000000000004,36.86,10106.86,Medium Value,731.1
ORD000011,CUST0140,PRD0054,2024-09-20,2.0,103.87,Customer_140,North,Home Office,2023-12-30,Product_54,Office Supplies,54.1,Regular,B2B-Home,0.04878048780487805,-1.090408152403413,2024,9,September,3,Friday,2024-09,207.74,108.2,99.54,47.92,6014.009999999999,Low Value,207.74
ORD000012,CUST0218,PRD0021,2024-05-28,8.0,472.24,Customer_218,North,Home Office,2022-08-23,Product_21,Office Supplies,224.92,Regular,B2B-Home,0.34146341463414637,0.7027035573209489,2024,5,May,2,Tuesday,2024-05,3777.92,1799.36,1978.5600000000002,52.37,16281.71,Medium Value,3777.92
ORD000013,CUST0141,PRD0022,2024-08-27,11.0,365.55,Customer_141,West,Corporate,2022-10-04,Product_22,Office Supplies,230.79,Bulk,B2B,0.4878048780487805,0.18336949561534813,2024,8,August,3,Tuesday,2024-08,4021.05,2538.69,1482.3600000000001,36.86,18900.04,Medium Value,4021.05
ORD000014,CUST0104,PRD0028,2024-11-08,1.0,375.61,Customer_104,West,Home Office,2022-09-25,Product_28,Electronics,205.51,Regular,B2B-Home,0.0,0.23233847734520421,2024,11,November,4,Friday,2024-11,375.61,205.51,170.10000000000002,45.29,17920.66,Medium Value,375.61
ORD000015,CUST0190,PRD0009,2024-01-22,6.0,365.6,Customer_190,South,Home Office,2024-04-30,Product_9,Clothing,212.18,Regular,B2B-Home,0.24390243902439024,0.1836128802163912,2024,1,January,1,Monday,2024-01,2193.6000000000004,1273.08,920.5200000000004,41.96,20038.690000000002,High Value,2193.6000000000004
ORD000016,CUST0210,PRD0026,2023-12-16,13.0,174.95,Customer_210,North,Home Office,2022-07-05,Product_26,Furniture,132.85,Bulk,B2B-Home,0.5853658536585366,-0.7444126035606528,2023,12,December,4,Saturday,2023-12,2274.35,1727.05,547.3,24.06,10350.1,Medium Value,2274.35
ORD000017,CUST0217,PRD0009,2023-10-23,6.0,365.6,Customer_217,West,Home Office,2024-01-03,Product_9,Clothing,212.18,Regular,B2B-Home,0.24390243902439024,0.1836128802163912,2023,10,October,4,Monday,2023-10,2193.6000000000004,1273.08,920.5200000000004,41.96,14480.220000000001,Medium Value,2193.6000000000004
ORD000018,CUST0225,PRD0015,2023-09-15,11.0,547.01,Customer_225,South,Consumer,2023-05-07,Product_15,Office Supplies,346.88,Bulk,B2C,0.4878048780487805,1.0666608897206844,2023,9,September,3,Friday,2023-09,6017.11,3815.68,2201.43,36.59,20347.17,High Value,6017.11
ORD000019,CUST0111,PRD0010,2023-03-22,4.0,260.5,Customer_111,West,Home Office,2023-07-10,Product_10,Furniture,167.11,Regular,B2B-Home,0.14634146341463414,-0.32798155117604166,2023,3,March,1,Wednesday,2023-03,1042.0,668.44,373.55999999999995,35.85,17838.7,Medium Value,1042.0
ORD000020,CUST0104,PRD0024,2023-09-25,12.0,650.79,Customer_104,West,Home Office,2022-09-25,Product_24,Groceries,308.95,Bulk,B2B-Home,0.5365853658536586,1.5718299676455811,2023,9,September,3,Monday,2023-09,7809.48,3707.3999999999996,4102.08,52.53,17920.66,Medium Value,7809.48
ORD000021,CUST0060,PRD0058,2024-02-23,11.0,45.4,Customer_60,North,Consumer,2022-08-06,Product_58,Electronics,31.27,Bulk,B2C,0.4878048780487805,-1.3750221048631235,2024,2,February,1,Friday,2024-02,499.4,343.96999999999997,155.43,31.12,22112.15,High Value,499.4
ORD000022,CUST0171,PRD0057,2023-08-23,13.0,133.48,Customer_171,West,Home Office,2024-05-29,Product_57,Electronics,76.59,Bulk,B2B-Home,0.5853658536585366,-0.9462757916657354,2023,8,August,3,Wednesday,2023-08,1735.2399999999998,995.6700000000001,739.5699999999997,42.62,23186.15,High Value,1735.2399999999998
