OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice
ORD000001,CUST0074,PRD0001,2023-07-29,14.0,133.49
ORD000002,CUST0104,PRD0044,2024-07-16,11.0,162.81
ORD000003,CUST0038,PRD0056,2023-04-28,8.0,711.44
ORD000004,CUST0134,PRD0045,2024-12-13,,554.21
ORD000005,CUST0200,PRD0042,2024-01-12,13.0,259.69
ORD000006,CUST0023,PRD0047,2024-07-04,7.0,491.72
ORD000007,CUST0047,PRD0059,2024-06-23,8.0,460.22
ORD000008,CUST0090,PRD0013,2023-03-25,13.0,326.99
ORD000009,CUST0046,PRD0055,2024-03-29,6.0,540.73
ORD000010,CUST0107,PRD0022,2024-10-28,2.0,365.55
ORD000011,CUST0140,PRD0054,2024-09-20,2.0,103.87
ORD000012,CUST0218,PRD0021,2024-05-28,8.0,472.24
ORD000013,CUST0141,PRD0022,2024-08-27,11.0,365.55
ORD000014,CUST0104,PRD0028,2024-11-08,1.0,375.61
ORD000015,CUST0190,PRD0009,2024-01-22,6.0,365.6
ORD000016,CUST0210,PRD0026,2023-12-16,13.0,174.95
ORD000017,CUST0217,PRD0009,2023-10-23,6.0,365.6
ORD000018,CUST0225,PRD0015,2023-09-15,11.0,547.01
ORD000019,CUST0111,PRD0010,2023-03-22,4.0,260.5
ORD000020,CUST0104,PRD0024,2023-09-25,12.0,650.79
ORD000021,CUST0060,PRD0058,2024-02-23,11.0,45.4
ORD000022,CUST0171,PRD0057,2023-08-23,13.0,133.48
ORD000023,CUST0204,PRD0042,2023-11-07,11.0,259.69
ORD000024,CUST0236,PRD0008,2023-12-23,13.0,68.43
ORD000025,CUST0100,PRD0024,2023-08-01,10.0,650.79
ORD000026,CUST0240,PRD0016,2024-07-27,3.0,544.93
ORD000027,CUST0068,PRD0049,2023-02-18,13.0,267.83
ORD000028,CUST0133,PRD0026,2023-05-07,11.0,174.95
ORD000029,CUST0120,PRD0027,2023-08-11,3.0,370.3
ORD000030,CUST0037,PRD0037,2023-10-06,13.0,38.5
ORD000031,CUST0072,PRD0004,2024-02-12,13.0,110.29
ORD000032,CUST0127,PRD0050,2024-05-19,1.0,285.21
ORD000033,CUST0106,PRD0024,2023-10-21,3.0,650.79
ORD000034,CUST0241,PRD0019,2023-10-04,4.0,458.22
ORD000035,CUST0092,PRD0036,2024-03-13,11.0,291.11
ORD000036,CUST0031,PRD0060,2023-04-17,11.0,320.42
ORD000037,CUST0122,PRD0039,2024-10-19,5.0,112.92
ORD000038,CUST0137,PRD0010,2024-02-24,3.0,260.5
ORD000039,CUST0246,PRD0025,2024-09-02,6.0,143.9
ORD000040,CUST0051,PRD0018,2024-03-04,11.0,
ORD000041,CUST0029,PRD0019,2024-01-10,14.0,458.22
ORD000042,CUST0206,PRD0036,2023-03-14,12.0,291.11
ORD000043,CUST0040,PRD0010,2024-09-25,5.0,260.5
ORD000044,CUST0041,PRD0033,2023-01-30,3.0,406.65
ORD000045,CUST0214,PRD0055,2023-07-07,6.0,540.73
ORD000046,CUST0011,PRD0050,2023-12-30,6.0,285.21
ORD000047,CUST0151,PRD0005,2024-03-26,14.0,160.38
ORD000048,CUST0001,PRD0047,2023-07-14,8.0,491.72
ORD000049,CUST0046,PRD0049,2023-06-05,2.0,267.83
ORD000050,CUST0101,PRD0035,2023-06-21,1.0,387.88
ORD000051,CUST0149,PRD0044,2023-02-10,4.0,162.81
ORD000052,CUST0090,PRD0034,2023-03-04,7.0,138.13
ORD000053,CUST0110,PRD0033,2023-01-23,11.0,406.65
ORD000054,CUST0164,PRD0055,2023-12-26,10.0,540.73
ORD000055,CUST0182,PRD0021,2023-03-16,3.0,472.24
ORD000056,CUST0215,PRD0017,2024-07-13,3.0,160.45
ORD000057,CUST0057,PRD0022,2024-11-02,5.0,365.55
ORD000058,CUST0001,PRD0048,2023-04-28,5.0,253.91
ORD000059,CUST0063,PRD0037,2024-09-03,13.0,38.5
ORD000060,CUST0182,PRD0015,2024-01-15,10.0,547.01
ORD000061,CUST0055,PRD0035,2024-11-09,3.0,387.88
ORD000062,CUST0115,PRD0028,2023-10-17,9.0,375.61
ORD000063,CUST0168,PRD0007,2024-03-15,4.0,723.68
ORD000064,CUST0143,PRD0032,2024-10-29,13.0,216.61
ORD000065,CUST0149,PRD0011,2023-01-07,13.0,816.42
ORD000066,CUST0175,PRD0010,2023-07-15,3.0,260.5
ORD000067,CUST0201,PRD0009,2024-02-25,11.0,365.6
ORD000068,CUST0053,PRD0014,2024-07-21,2.0,635.89
ORD000069,CUST0137,PRD0013,2023-07-12,10.0,326.99
ORD000070,CUST0202,PRD0057,2024-07-12,13.0,133.48
ORD000071,CUST0180,PRD0025,2023-05-28,11.0,143.9
ORD000072,CUST0057,PRD0002,2024-10-30,9.0,136.86
ORD000073,CUST0117,PRD0035,2023-07-21,4.0,387.88
ORD000074,CUST0154,PRD0007,2024-03-19,3.0,723.68
ORD000075,CUST0169,PRD0021,2024-02-23,7.0,472.24
ORD000076,CUST0035,PRD0018,2024-03-02,8.0,141.2
ORD000077,CUST0063,PRD0003,2024-04-23,11.0,136.62
ORD000078,CUST0244,PRD0042,2024-04-19,14.0,259.69
ORD000079,CUST0025,PRD0054,2023-05-06,2.0,103.87
ORD000080,CUST0090,PRD0039,2024-01-30,7.0,112.92
ORD000081,CUST0075,PRD0041,2024-07-29,12.0,700.93
ORD000082,CUST0038,PRD0049,2023-11-21,5.0,267.83
ORD000083,CUST0130,PRD0011,2024-01-27,11.0,816.42
ORD000084,CUST0135,PRD0039,2024-11-18,5.0,112.92
ORD000085,CUST0210,PRD0024,2024-09-19,3.0,650.79
ORD000086,CUST0219,PRD0060,2024-03-15,5.0,320.42
