OrderID,Date,Product,Category,Quantity,UnitPrice,Region,PaymentMode,CustomerID,Revenue,Month,UnitsSold
ORD2034,2025-01-01,Desk Organizer,Stationery,2.0,340.96,East,Net Banking,CUST1033,681.92,2025-01,2.0
ORD1529,2025-01-01,Table Lamp,Furniture,7.0,1283.11,North,Upi,CUST1616,8981.77,2025-01,7.0
ORD2489,2025-01-01,Desk Organizer,Stationery,4.0,335.08,East,Net Banking,CUST1455,1340.32,2025-01,4.0
ORD1255,2025-01-01,Backpack,Accessories,6.0,1231.6,West,Upi,CUST1680,7389.6,2025-01,6.0
ORD2289,2025-01-01,Wireless Mouse,Electronics,8.0,654.24,East,Upi,CUST1000,5233.92,2025-01,8.0
ORD1629,2025-01-01,USB-C Cable,Electronics,2.0,263.53,East,Net Banking,CUST1575,527.06,2025-01,2.0
ORD2010,2025-01-02,Backpack,Accessories,4.0,1218.96,North,Net Banking,CUST1370,4875.84,2025-01,4.0
ORD2095,2025-01-02,USB-C Cable,Electronics,2.0,270.13,West,Cash,CUST1714,540.26,2025-01,2.0
ORD1888,2025-01-02,Yoga Mat,Fitness,4.0,643.29,East,Net Banking,CUST1643,2573.16,2025-01,4.0
ORD2296,2025-01-02,Coffee Mug,Kitchen,1.0,205.87,West,Net Banking,Guest,205.87,2025-01,1.0
ORD1401,2025-01-02,Bluetooth Speaker,Electronics,5.0,1482.43,East,Credit Card,CUST1135,7412.15,2025-01,5.0
ORD1663,2025-01-03,Desk Organizer,Stationery,2.0,360.79,West,Upi,CUST1926,721.58,2025-01,2.0
ORD1332,2025-01-03,Wireless Mouse,Electronics,5.0,607.14,North,Cash,CUST1291,3035.7,2025-01,5.0
ORD1573,2025-01-03,Desk Organizer,Stationery,8.0,377.72,South,Net Banking,CUST1820,3021.76,2025-01,8.0
ORD1743,2025-01-03,USB-C Cable,Electronics,5.0,236.46,North,Debit Card,CUST1689,1182.3,2025-01,5.0
ORD1158,2025-01-03,Desk Organizer,Stationery,8.0,377.0,South,Credit Card,CUST1452,3016.0,2025-01,8.0
ORD1695,2025-01-03,USB-C Cable,Electronics,4.0,266.33,South,Net Banking,CUST1143,1065.32,2025-01,4.0
ORD1613,2025-01-03,Wireless Mouse,Electronics,3.0,618.57,South,Cash,CUST1366,1855.71,2025-01,3.0
ORD2363,2025-01-03,Table Lamp,Furniture,8.0,1273.43,East,Cash,CUST1230,10187.44,2025-01,8.0
ORD1465,2025-01-03,Yoga Mat,Fitness,3.0,789.43,South,Upi,CUST1941,2368.29,2025-01,3.0
ORD1437,2025-01-03,Water Bottle,Accessories,8.0,277.26,West,Net Banking,CUST1517,2218.08,2025-01,8.0
ORD1036,2025-01-04,USB-C Cable,Electronics,2.0,270.23,South,Upi,CUST1416,540.46,2025-01,2.0
ORD1472,2025-01-04,USB-C Cable,Electronics,6.0,270.61,South,Debit Card,CUST1881,1623.66,2025-01,6.0
ORD1335,2025-01-04,Office Chair,Furniture,6.0,5289.71,South,Upi,CUST1625,31738.26,2025-01,6.0
ORD2405,2025-01-04,Table Lamp,Furniture,4.0,1084.19,North,Cash,CUST1242,4336.76,2025-01,4.0
ORD1171,2025-01-04,Backpack,Accessories,5.0,1308.5,West,Cash,CUST1688,6542.5,2025-01,5.0
ORD1139,2025-01-04,USB-C Cable,Electronics,7.0,228.74,North,Debit Card,CUST1969,1601.18,2025-01,7.0
ORD1149,2025-01-04,Coffee Mug,Kitchen,3.0,195.42,South,Credit Card,CUST1480,586.26,2025-01,3.0
ORD2448,2025-01-05,Water Bottle,Accessories,6.0,321.33,East,Debit Card,CUST1239,1927.98,2025-01,6.0
ORD2210,2025-01-05,USB-C Cable,Electronics,1.0,243.77,North,Upi,CUST1671,243.77,2025-01,1.0
ORD1392,2025-01-05,Water Bottle,Accessories,4.0,304.2,West,Credit Card,CUST1306,1216.8,2025-01,4.0
ORD2085,2025-01-05,Office Chair,Furniture,8.0,4847.24,East,Upi,CUST1836,38777.92,2025-01,8.0
ORD1474,2025-01-05,Bluetooth Speaker,Electronics,2.0,1353.24,South,Credit Card,CUST1944,2706.48,2025-01,2.0
ORD1848,2025-01-06,Coffee Mug,Kitchen,6.0,187.42,South,Upi,CUST1559,1124.52,2025-01,6.0
ORD2164,2025-01-06,Wireless Mouse,Electronics,4.0,647.74,West,Upi,CUST1268,2590.96,2025-01,4.0
ORD2045,2025-01-06,Desk Organizer,Stationery,5.0,343.17,South,Debit Card,CUST1355,1715.85,2025-01,5.0
ORD2223,2025-01-06,Backpack,Accessories,3.0,1243.93,South,Debit Card,CUST1352,3731.79,2025-01,3.0
ORD1855,2025-01-06,Table Lamp,Furniture,1.0,1138.42,East,Cash,CUST1501,1138.42,2025-01,1.0
ORD2306,2025-01-06,Desk Organizer,Stationery,5.0,361.61,West,Credit Card,CUST1960,1808.05,2025-01,5.0
ORD2059,2025-01-07,LED Desk Lamp,Electronics,7.0,920.13,South,Debit Card,CUST1365,6440.91,2025-01,7.0
ORD1866,2025-01-07,Office Chair,Furniture,5.0,5104.58,South,Net Banking,CUST1237,25522.9,2025-01,5.0
ORD1248,2025-01-07,Water Bottle,Accessories,7.0,272.28,East,Upi,CUST1395,1905.96,2025-01,7.0
ORD1281,2025-01-07,Coffee Mug,Kitchen,6.0,201.15,East,Debit Card,CUST1822,1206.9,2025-01,6.0
ORD1975,2025-01-07,Wireless Mouse,Electronics,2.0,545.91,South,Net Banking,CUST1653,1091.82,2025-01,2.0
ORD1493,2025-01-07,Backpack,Accessories,4.0,1309.79,North,Cash,CUST1001,5239.16,2025-01,4.0
ORD2353,2025-01-07,Backpack,Accessories,3.0,1283.85,East,Credit Card,CUST1367,3851.55,2025-01,3.0
ORD1096,2025-01-07,Yoga Mat,Fitness,5.0,811.11,West,Debit Card,CUST1964,4055.55,2025-01,5.0
ORD2384,2025-01-07,Coffee Mug,Kitchen,2.0,204.53,West,Debit Card,CUST1351,409.06,2025-01,2.0
ORD1844,2025-01-07,Desk Organizer,Stationery,5.0,325.91,East,Net Banking,CUST1841,1629.55,2025-01,5.0
ORD1741,2025-01-08,Yoga Mat,Fitness,5.0,737.68,North,Debit Card,CUST1648,3688.4,2025-01,5.0
ORD1944,2025-01-08,LED Desk Lamp,Electronics,4.0,886.72,West,Cash,CUST1728,3546.88,2025-01,4.0
ORD2265,2025-01-08,Coffee Mug,Kitchen,3.0,184.76,West,Credit Card,CUST1959,554.28,2025-01,3.0
ORD1676,2025-01-08,Desk Organizer,Stationery,8.0,325.01,South,Upi,CUST1764,2600.08,2025-01,8.0
ORD2109,2025-01-08,Office Chair,Furniture,2.0,5236.75,North,Debit Card,CUST1694,10473.5,2025-01,2.0
ORD1775,2025-01-08,Office Chair,Furniture,1.0,5162.52,East,Debit Card,CUST1478,5162.52,2025-01,1.0
ORD2394,2025-01-08,Backpack,Accessories,1.0,1256.68,South,Credit Card,CUST1225,1256.68,2025-01,1.0
