OrderID,Date,Product,Category,Quantity,UnitPrice,Region,PaymentMode,CustomerID
ORD1294,2025-05-04,Backpack,Accessories,8.0,1222.11,South,Cash,CUST1882
ORD2002,2025-06-23,Table Lamp,Furniture,7.0,1156.85,South,Cash,CUST1856
ORD2285,2025-06-12,Backpack,Accessories,4.0,1406.49,North,Cash,CUST1567
ORD1043,2025-06-08,Wireless Mouse,Electronics,2.0,589.32,East,Cash,CUST1209
ORD2105,2025-03-28,Notebook Set,Stationery,4.0,151.83,West,,CUST1238
ORD2221,2025-05-28,Backpack,Accessories,6.0,1312.84,East,Debit Card,CUST1910
ORD1758,2025-02-20,Backpack,Accessories,3.0,1376.95,South,Debit Card,CUST1825
ORD1731,2025-03-15,USB-C Cable,Electronics,1.0,271.2,South,Debit Card,CUST1449
ORD1643,2025-02-05,Office Chair,Furniture,7.0,5101.5,East,Net Banking,CUST1881
ORD1718,2025-01-12,Water Bottle,Accessories,7.0,282.82,West,Debit Card,CUST1358
ORD1813,2025-02-21,Wireless Mouse,Electronics,2.0,597.25,North,Credit Card,CUST1584
ORD1383,2025-05-17,Wireless Mouse,Electronics,7.0,540.52,East,Net Banking,CUST1293
ORD1694,2025-02-27,Backpack,Accessories,5.0,1203.88,North,Debit Card,CUST1372
ORD1071,2025-07-23,Coffee Mug,Kitchen,3.0,205.32,East,Net Banking,CUST1679
ORD1350,2025-07-10,Wireless Mouse,Electronics,4.0,608.38,North,Debit Card,CUST1352
ORD1409,2025-03-27,Backpack,Accessories,7.0,1378.0,East,Debit Card,CUST1342
ORD2011,2025-05-10,USB-C Cable,Electronics,4.0,247.22,South,Cash,CUST1054
ORD1883,2025-02-08,Desk Organizer,Stationery,3.0,374.74,South,Credit Card,CUST1429
ORD1871,2025-04-23,Office Chair,Furniture,8.0,5186.83,West,UPI,CUST1437
ORD1467,2025-05-31,Bluetooth Speaker,Electronics,7.0,1454.49,West,Cash,CUST1810
ORD2206,2025-01-21,Yoga Mat,Fitness,1.0,737.31,West,UPI,CUST1805
ORD1680,2025-03-20,Bluetooth Speaker,Electronics,4.0,1573.44,East,UPI,CUST1422
ORD2475,2025-06-23,Backpack,Accessories,3.0,1409.67,North,Cash,CUST1997
ORD1746,2025-03-02,Notebook Set,Stationery,4.0,160.11,South,UPI,CUST1207
ORD1754,2025-03-02,LED Desk Lamp,Electronics,5.0,893.85,East,Cash,CUST1188
ORD2061,2025-07-20,Notebook Set,Stationery,5.0,139.93,North,Net Banking,CUST1869
ORD2081,2025-06-26,Table Lamp,Furniture,6.0,1102.08,East,UPI,CUST1013
ORD2010,2025-01-02,Backpack,Accessories,4.0,1218.96,North,Net Banking,CUST1370
ORD2294,2025-04-26,Table Lamp,Furniture,5.0,1138.07,East,Cash,CUST1215
ORD1474,2025-01-05,Bluetooth Speaker,Electronics,2.0,1353.24,South,Credit Card,CUST1944
ORD1837,2025-07-07,Desk Organizer,Stationery,7.0,381.88,North,UPI,CUST1442
ORD1140,2025-06-15,Bluetooth Speaker,Electronics,3.0,1498.51,East,Net Banking,CUST1722
ORD2366,2025-07-24,Desk Organizer,Stationery,7.0,382.52,South,Debit Card,CUST1065
ORD1179,2025-04-03,Notebook Set,Stationery,2.0,163.33,East,Net Banking,CUST1923
ORD1354,2025-05-18,Office Chair,Furniture,7.0,,South,Credit Card,CUST1774
ORD1748,2025-06-23,Bluetooth Speaker,Electronics,8.0,1533.13,North,Debit Card,CUST1380
ORD1716,2025-06-03,Yoga Mat,Fitness,1.0,859.36,North,Credit Card,CUST1493
ORD1691,2025-05-18,Office Chair,Furniture,4.0,4762.28,North,Credit Card,CUST1913
ORD1737,2025-04-27,Notebook Set,Stationery,7.0,151.23,East,UPI,CUST1416
ORD1653,2025-03-22,Desk Organizer,Stationery,1.0,315.0,East,UPI,CUST1635
ORD1454,2025-02-24,Backpack,Accessories,8.0,1238.87,East,Cash,CUST1560
ORD2367,2025-04-09,USB-C Cable,Electronics,4.0,247.74,East,Net Banking,CUST1985
ORD1781,2025-07-16,Wireless Mouse,Electronics,7.0,634.7,South,Credit Card,CUST1561
ORD1832,2025-06-29,Table Lamp,Furniture,2.0,1221.84,East,Credit Card,CUST1748
ORD2370,2025-03-14,Backpack,Accessories,4.0,1229.64,North,Debit Card,CUST1058
ORD2131,2025-05-02,USB-C Cable,Electronics,7.0,234.55,North,Cash,CUST1516
ORD1060,2025-07-29,Notebook Set,Stationery,8.0,144.52,South,UPI,CUST1024
ORD1414,2025-02-23,Table Lamp,Furniture,8.0,1270.38,North,Debit Card,CUST1689
ORD1095,2025-07-03,Table Lamp,Furniture,2.0,1265.61,South,Cash,CUST1110
ORD1860,2025-02-09,Yoga Mat,Fitness,7.0,874.19,East,Debit Card,CUST1555
ORD1263,2025-02-18,Desk Organizer,Stationery,5.0,339.02,North,Cash,CUST1279
ORD2382,2025-04-16,Coffee Mug,Kitchen,,218.71,North,Credit Card,CUST1516
ORD1146,2025-05-27,Notebook Set,Stationery,7.0,141.06,West,Credit Card,CUST1325
ORD1619,2025-06-25,Wireless Mouse,Electronics,3.0,596.97,West,Credit Card,CUST1908
ORD1611,2025-04-29,LED Desk Lamp,Electronics,1.0,827.05,South,Credit Card,CUST1872
ORD1407,2025-07-20,Coffee Mug,Kitchen,2.0,193.47,South,Debit Card,CUST1608
ORD1432,2025-04-01,Water Bottle,Accessories,8.0,306.02,,Net Banking,CUST1604
ORD1771,2025-01-27,Backpack,Accessories,2.0,1185.67,West,Net Banking,CUST1055
ORD1325,2025-03-11,USB-C Cable,Electronics,5.0,230.94,South,UPI,CUST1051
ORD1414,2025-02-23,Table Lamp,Furniture,8.0,1270.38,North,Debit Card,CUST1689
ORD2441,2025-07-12,LED Desk Lamp,Electronics,1.0,928.72,North,Credit Card,CUST1216
ORD1116,2025-05-27,Wireless Mouse,Electronics,5.0,595.33,West,Cash,CUST1188
ORD1111,2025-03-11,Coffee Mug,Kitchen,5.0,189.11,North,UPI,CUST1323
ORD1101,2025-04-22,Office Chair,Furniture,3.0,5232.75,East,Net Banking,CUST1827
ORD2162,2025-07-08,Coffee Mug,Kitchen,3.0,189.48,East,Cash,CUST1203
ORD1363,2025-07-08,Yoga Mat,Fitness,3.0,819.13,West,Net Banking,CUST1507
ORD1200,2025-04-01,LED Desk Lamp,Electronics,2.0,913.01,South,UPI,CUST1672
ORD2056,2025-05-20,Table Lamp,Furniture,6.0,1234.31,East,Debit Card,CUST1917
ORD1983,2025-01-28,Desk Organizer,Stationery,8.0,364.03,North,Credit Card,CUST1074
ORD2420,2025-05-22,Office Chair,Furniture,3.0,4756.34,West,Cash,CUST1464
ORD1488,2025-03-23,Table Lamp,Furniture,5.0,1277.17,East,Credit Card,CUST1514
ORD1141,2025-04-17,LED Desk Lamp,Electronics,8.0,985.35,South,Debit Card,CUST1564
ORD1830,2025-03-07,Notebook Set,Stationery,5.0,136.84,West,Net Banking,CUST1939
ORD1870,2025-04-16,LED Desk Lamp,Electronics,4.0,942.58,South,UPI,CUST1067
ORD2201,2025-05-12,Wireless Mouse,Electronics,6.0,655.7,South,UPI,CUST1953
ORD1172,2025-06-22,Table Lamp,Furniture,5.0,1219.28,East,Credit Card,CUST1691
ORD2046,2025-04-24,Backpack,Accessories,1.0,1244.84,North,Credit Card,CUST1892
ORD1630,2025-06-17,Notebook Set,Stationery,8.0,162.42,East,Credit Card,CUST1836
ORD1621,2025-05-15,Desk Organizer,Stationery,,382.36,East,Net Banking,CUST1535
ORD1127,2025-03-15,Yoga Mat,Fitness,8.0,738.97,East,Debit Card,CUST1965
ORD1564,2025-06-04,Backpack,Accessories,2.0,1217.93,South,Debit Card,CUST1758
ORD1898,2025-05-08,Desk Organizer,Stationery,8.0,370.5,South,Cash,CUST1198
ORD1586,2025-03-17,Yoga Mat,Fitness,8.0,855.12,West,Credit Card,CUST1887
ORD1531,2025-07-10,Water Bottle,Accessories,2.0,283.33,East,UPI,CUST1651
